Algorithm ,Description,Data Type,Alphanumeric,Geospatial,Image,Audio
Naive Bayes (NB),"The naive Bayes algorithm is based on the Bayes’ theorem with the assumption of independence between each pair of features. It works well and can be used for both binary and multi-class categories in many real-world situations, such as document or text classification, spam filtering, etc. To effectively classify the noisy instances in the data and to construct a robust prediction model, the NB classifier can be used . The key benefit is that, compared to more sophisticated approaches, it needs a small amount of training data to estimate the necessary parameters and quickly. However, its performance may affect due to its strong assumptions on features independence. Gaussian, Multinomial, Complement, Bernoulli, and Categorical are the common variants of NB classifier.",Alphanumeric,1,0,0,0
Linear Discriminant Analysis (LDA):," Linear Discriminant Analysis (LDA) is a linear decision boundary classifier created by fitting class conditional densities to data and applying Bayes’ rule. This method is also known as a generalization of Fisher’s linear discriminant, which projects a given dataset into a lower-dimensional space, i.e., a reduction of dimensionality that minimizes the complexity of the model or reduces the resulting model’s computational costs. The standard LDA model usually suits each class with a Gaussian density, assuming that all classes share the same covariance matrix. LDA is closely related to ANOVA (analysis of variance) and regression analysis, which seek to express one dependent variable as a linear combination of other features or measurements.",Alphanumeric,1,0,0,0
Logistic regression (LR),"Another common probabilistic based statistical model used to solve classification issues in machine learning is Logistic Regression (LR) . Logistic regression typically uses a logistic function to estimate the probabilities, It can overfit high-dimensional datasets and works well when the dataset can be separated linearly. The regularization (L1 and L2) techniques  can be used to avoid over-fitting in such scenarios. The assumption of linearity between the dependent and independent variables is considered as a major drawback of Logistic Regression. It can be used for both classification and regression problems, but it is more commonly used for classification. ",Alphanumeric,1,0,0,0
K-nearest neighbors (KNN),"K-Nearest Neighbors (KNN)  is an “instance-based learning” or non-generalizing learning, also known as a “lazy learning” algorithm. It does not focus on constructing a general internal model; instead, it stores all instances corresponding to training data in n-dimensional space. KNN uses data and classifies new data points based on similarity measures(e.g., Euclidean distance function) . Classification is computed from a simple majority vote of the k nearest neighbors of each point. It is quite robust to noisy training data, and accuracy depends on the data quality. The biggest issue with KNN is to choose the optimal number of neighbors to be considered. KNN can be used both for classification as well as regression.","Alphanumeric, Geospatial, Image",1,1,1,0
Support vector machine (SVM)," In machine learning, another common technique that can be used for classification, regression, or other tasks is a support vector machine (SVM) . In high- or infinite-dimensional space, a support vector machine constructs a hyper-plane or set of hyper-planes. Intuitively, the hyper-plane, which has the greatest distance from the nearest training data points in any class, achieves a strong separation since, in general, the greater the margin, the lower the classifier’s generalization error. It is effective in high-dimensional spaces and can behave differently based on different mathematical functions known as the kernel. Linear, polynomial, radial basis function (RBF), sigmoid, etc","Alphanumeric, Geospatial",1,1,0,0
Decision tree (DT),Decision tree (DT) is a well known non-parametric supervised learning method. DT learning methods are used for both the classification and regression tasks . ,Alphanumeric,1,0,0,0
 Iterative Dichotomiser3 (ID3),"Thе ID3 (Iterative Dichotomiser 3) algorithm is a classic decision tree algorithm used for both classification and regression tasks.ID3 deals primarily with categorical properties, which means that it can efficiently handle objects with a discrete set of values. This property is consistent with its suitability for problems where the input features are categorical rather than continuous.One of the strengths of ID3 is its ability to generate interpretable decision trees. The resulting tree structure is easily understood and visualized, providing insight into the decision-making process.",Alphanumeric,1,0,0,0
C4.5,"C4.5 is an effective technique for creating decision trees that can produce rules from the tree and handle both discrete and continuous attributes. The model’s accuracy is increased and overfitting is prevented by its utilization of gain ratio and decreased error pruning. Nevertheless, it might still be susceptible to noisy data and might not function effectively on datasets with a lot of features.",Alphanumeric,1,0,0,0
CART,"CART is a decision tree algorithm that can be used for both classification and regression tasks. CART can be used to create regression trees for continuous target variables in addition to classification. When deciding which subsets to split, the algorithm in this instance minimizes the variance of the target variable inside each subset.",Alphanumeric,1,0,0,0
BehavDT,"BehavDT is a behavioral decision tree-based machine learning model designed to predict smartphone user activities by considering various contextual factors, such as temporal, spatial, and social contexts. Unlike traditional decision trees, BehavDT incorporates behavior-oriented generalization in both interior and leaf nodes, enabling it to capture diverse user behaviors in different situations. The model has been tested on real mobile phone datasets, demonstrating its ability to identify key decision nodes while capturing both general behaviors and specific exceptions. Although the model is demonstrated using phone call behaviors, it is applicable to other user-centric domains influenced by contextual factors.",Alphanumeric,1,0,0,0
IntrudTree,"IntruDTree is a machine-learning-based intrusion detection model designed to enhance security by prioritizing and ranking key security features based on their importance. The model uses these selected features to build an efficient tree-based intrusion detection system that reduces computational costs while improving prediction accuracy for unseen test cases. IntruDTree has been evaluated through experiments on cybersecurity datasets and compared against traditional machine learning methods, demonstrating its effectiveness in detecting intrusions and optimizing security performance.",Alphanumeric,1,0,0,0
Random forest (RF)," A random forest classifier is well known as an ensemble classifcation technique that is used in the field of machine learning and data science in various application areas. This method uses “parallel ensembling” which fits several decision tree classifiers in parallel, on different data set sub-samples and uses majority voting or averages for the outcome or final result. It thus minimizes the over-fitting problem and increases the prediction accuracy and control. Therefore, the RF learning model with multiple decision trees is typically more accurate than a single decision tree based model. To build a series of decision trees with controlled variation, it combines bootstrap aggregation (bagging) and random feature selection. It is adaptable to both classification and regression problems and",Alphanumeric,1,0,0,0
Adaptive Boosting (AdaBoost),"Adaptive Boosting (AdaBoost) is an ensemble learning process that employs an iterative approach to improve poor classifiers by learning from their errors. Unlike the random forest that uses parallel ensembling, Adaboost uses “sequential ensembling”. It creates a powerful classifier by combining many poorly performing classifiers to obtain a good classifier of high accuracy. In that sense, AdaBoost is called an adaptive classifier by significantly improving the efficiency of the classifier, but in some instances, it can trigger overfits. AdaBoost is best used to boost the performance of decision trees, base estimator, on binary classification problems, however, is sensitive to noisy data and outliers.",Alphanumeric,1,0,0,0
Extreme gradient boosting (XGBoost),"Gradient Boosting, like Random Forests above, is an ensemble learning algorithm that generates a final model based on a series of individual models, typically decision trees. The gradient is used to minimize the loss function, similar to how neural networks use gradient descent to optimize weights. Extreme Gradient Boosting (XGBoost) is a form of gradient boosting that takes more detailed approximations into account when determining the best model. It computes second-order gradients of the loss function to minimize loss and advanced regularization (L1 and L2), which reduces over-fitting, and improves model generalization and performance. XGBoost is fast to interpret and can handle large-sized datasets well.",Alphanumeric,1,0,0,0
Stochastic gradient descent (SGD),"Stochastic gradient descent (SGD) is an iterative method for optimizing an objective function with appropriate smoothness properties, where the word ‘stochastic’ refers to random probability. This reduces the computational burden, particularly in high-dimensional optimization problems, allowing for faster iterations in exchange for a lower convergence rate.  In large-scale and sparse machine learning, SGD has been successfully applied to problems often encountered in text classification and natural language processing.",Alphanumeric,1,0,0,0
